"Monitoring_ID","Habitat_Type"
"100_0","Emergent Macrophyte"
"101_0","Emergent Macrophyte"
"102_0","Rocky"
"103_0","Sandy"
"104_0","Muddy"
"105_0","Rocky"
"106_0","Sandy"
"107_0","Sandy"
"108_0","Sandy"
"109_0","Rocky"
"109_1","Rocky"
"110_0","Sandy"
"111_0","Emergent Macrophyte"
"111_1","Emergent Macrophyte"
"112_0","Muddy"
"113_0","Rocky"
"114_0","Emergent Macrophyte"
"115_0","Sandy"
"115_1","Sandy"
"116_0","Muddy"
"116_1","Muddy"
"117_0","Rocky"
"117_1","Rocky"
"118_0","Sandy"
"119_0","Emergent Macrophyte"
"119_1","Emergent Macrophyte"
"120_0","Sandy"
"61_0","Sandy"
"62_0","Rocky"
"63_0","Sandy"
"64_0","Sandy"
"65_0","Sandy"
"66_0","Rocky"
"67_0","Sandy"
"68_0","Rocky"
"69_0","Sandy"
"70_0","Sandy"
"71_0","Sandy"
"72_0","Sandy"
"73_0","Rocky"
"74_0","Sandy"
"75_0","Rocky"
"76_0","Sandy"
"77_0","Rocky"
"78_0","Sandy"
"79_0","Muddy"
"80_0","Emergent Macrophyte"
"81_0","Sandy"
"82_0","Sandy"
"83_0","Rocky"
"84_0","Sandy"
"85_0","Sandy"
"86_0","Emergent Macrophyte"
"87_0","Sandy"
"88_0","Sandy"
"89_0","Emergent Macrophyte"
"90_0","Muddy"
"91_0","Sandy"
"92_0","Muddy"
"93_0","Emergent Macrophyte"
"94_0","Muddy"
"95_0","Rocky"
"96_0","Sandy"
"97_0","Sandy"
"98_0","Rocky"
"99_0","Sandy"
